,Symbol,Name,Last Price,MarketTime,Change,Change %,Volume,Market Cap
0,BTC-USD,Bitcoin USD,6692735,10:44AM UTC,393.98,0.59,18095000000000,132000000000000
1,SOL-USD,Solana USD,17261,10:43AM UTC,3.63,2.15,1903000000000,80149000000000
2,CELH,"Celsius Holdings, Inc.",4958,4:00PM EDT,-1.4,-2.75,6983000000,11556000000000
3,IBIT,iShares Bitcoin Trust,3840,4:00PM EDT,2.18,6.02,46275000000,0
4,O,Realty Income Corporation,5758,4:00PM EDT,-0.15,-0.26,3721000000,50139000000000
5,RIVN,"Rivian Automotive, Inc.",1675,4:00PM EDT,-0.15,-0.89,25815000000,16672000000000
6,BTC-CAD,Bitcoin CAD,9217570,10:44AM UTC,542.6,0.59,24922000000000,1819000000000000
7,BTC-EUR,Bitcoin EUR,6147177,10:44AM UTC,361.86,0.59,1662000000000,1213000000000000
8,PYPL,"PayPal Holdings, Inc.",5933,4:00PM EDT,-0.67,-1.12,9339000000,62062000000000
9,ETH-USD,Ethereum USD,349960,10:43AM UTC,12.58,0.36,9931000000000,420751000000000
10,KO,The Coca-Cola Company,6529,4:00PM EDT,0.1,0.15,13768000000,281267000000000
11,AAPL,Apple Inc.,22431,4:00PM EDT,0.13,0.06,48988000000,344000000000000
12,NKE,"NIKE, Inc.",7270,4:00PM EDT,0.32,0.44,11764000000,10973000000000
13,DOGE-USD,Dogecoin USD,131432,10:44AM UTC,0.004577,3.61,1052000000000,19085000000000
14,NVAX,"Novavax, Inc.",1385,4:00PM EDT,-1.11,-7.42,5432000000,204000000000
15,XOM,Exxon Mobil Corporation,11607,4:01PM EDT,-2.73,-2.3,16105000000,520682000000000
